investor_id,amfi_code,transaction_date,transaction_type,amount_inr,kyc_status
INV100014,119551,2023-06-22,Lumpsum,5000,Verified
INV100014,149323,2023-07-01,SIP,1379,Verified
INV100014,149323,2023-08-24,SIP,1461,Verified
INV100014,149323,2023-08-29,SIP,1558,Verified
INV100014,149323,2023-10-18,SIP,1447,Verified
INV100014,149323,2023-11-05,SIP,1562,Verified
INV100014,149323,2023-12-26,SIP,1678,Verified
INV100014,149323,2024-02-17,SIP,1529,Verified
INV100014,102887,2024-03-07,Lumpsum,5000,Verified
INV100014,149323,2024-03-29,SIP,1561,Verified
INV100014,149323,2024-05-25,SIP,1593,Verified
INV100014,149323,2024-06-28,SIP,1468,Verified
INV100014,149323,2024-08-02,SIP,1559,Verified
INV100014,149323,2024-10-15,SIP,1466,Verified
INV100014,149323,2024-11-20,SIP,1523,Verified
INV100014,149323,2024-12-30,SIP,1571,Verified
INV100014,149323,2025-01-04,SIP,1438,Verified
INV100014,149323,2025-02-02,SIP,1326,Verified
INV100014,149323,2025-02-27,SIP,1432,Verified
INV100014,149323,2025-04-08,SIP,1583,Verified
INV100014,149323,2025-05-18,SIP,1423,Verified
INV100014,149323,2025-06-30,SIP,1578,Verified
INV100014,149323,2025-07-25,SIP,1432,Verified
INV100014,149323,2025-09-19,SIP,1484,Verified
INV100015,120844,2024-03-29,Lumpsum,25000,Pending
INV100015,120503,2024-04-12,SIP,3169,Pending
INV100015,120503,2024-05-02,SIP,2776,Pending
INV100015,120503,2024-05-28,SIP,3219,Pending
INV100015,120503,2024-06-28,SIP,3115,Pending
INV100015,120503,2024-07-23,SIP,2833,Pending
INV100015,120503,2024-08-23,SIP,3008,Pending
INV100015,120503,2024-09-24,SIP,2972,Pending
INV100015,120503,2024-10-25,SIP,3023,Pending
INV100015,120503,2024-11-27,SIP,3121,Pending
INV100015,120503,2024-12-20,SIP,2663,Pending
INV100015,125497,2025-01-16,Lumpsum,25000,Pending
INV100015,120503,2025-01-23,SIP,3178,Pending
INV100015,120503,2025-02-17,SIP,2722,Pending
INV100015,120503,2025-03-19,SIP,3139,Pending
INV100015,120503,2025-04-25,SIP,3077,Pending
INV100015,120503,2025-05-23,SIP,2867,Pending
INV100015,120503,2025-06-22,SIP,2956,Pending
INV100015,120503,2025-07-17,SIP,3307,Pending
INV100015,120503,2025-08-23,SIP,3170,Pending
INV100015,120503,2025-09-18,SIP,3128,Pending
INV100015,120503,2025-10-20,SIP,3066,Pending
INV100015,120503,2025-11-23,SIP,3095,Pending
INV100015,120503,2025-12-25,SIP,3095,Pending
INV100015,102887,2026-01-08,Lumpsum,10000,Pending
INV100015,120503,2026-01-25,SIP,2733,Pending
INV100016,100016,2023-02-03,SIP,1995,Verified
INV100016,100016,2023-03-04,SIP,2179,Verified
INV100016,100016,2023-04-06,SIP,2001,Verified
INV100016,100016,2023-05-06,SIP,2004,Verified
INV100016,100016,2023-06-04,SIP,1892,Verified
INV100016,100016,2023-07-03,SIP,1926,Verified
INV100016,100016,2023-07-27,SIP,2051,Verified
INV100016,100016,2023-08-27,SIP,1822,Verified
INV100016,100016,2023-09-25,SIP,2099,Verified
INV100016,100016,2023-10-29,SIP,2102,Verified
INV100016,100016,2023-11-28,SIP,1916,Verified
INV100016,100016,2023-12-23,SIP,2034,Verified
INV100016,100016,2024-01-23,SIP,2128,Verified
INV100016,100016,2024-02-26,SIP,1987,Verified
INV100016,100016,2024-03-22,SIP,1969,Verified
INV100016,100016,2024-04-21,SIP,1980,Verified
INV100016,100016,2024-05-18,SIP,2025,Verified
INV100016,100016,2024-06-14,SIP,1938,Verified
INV100016,119551,2024-06-25,Lumpsum,100000,Verified
INV100016,100016,2024-07-15,SIP,1960,Verified
INV100016,100016,2024-08-14,SIP,2027,Verified
INV100016,100016,2024-09-08,SIP,1952,Verified
INV100016,100016,2024-10-13,SIP,1884,Verified
INV100016,100016,2024-11-03,SIP,1814,Verified
INV100016,100016,2024-12-03,SIP,2003,Verified
INV100016,100016,2025-01-01,SIP,2121,Verified
INV100016,100016,2025-01-20,SIP,2039,Verified
INV100016,100016,2025-02-25,SIP,1888,Verified
INV100016,100016,2025-03-25,SIP,1925,Verified
INV100016,120503,2025-07-16,Lumpsum,25000,Verified
INV100016,119552,2025-09-21,Lumpsum,5000,Verified
INV100016,100016,2026-01-16,Redemption,10000,Verified
INV100017,120503,2023-11-19,SIP,2003,Pending
INV100017,120503,2024-01-08,SIP,2033,Pending
INV100017,120841,2024-03-01,SIP,1807,Pending
INV100017,120503,2024-04-28,SIP,1856,Pending
INV100017,120841,2024-06-10,SIP,2008,Pending
INV100017,120841,2024-07-11,SIP,1866,Pending
INV100017,120841,2024-08-16,SIP,1942,Pending
INV100017,120841,2024-09-29,SIP,1900,Pending
INV100017,120841,2024-11-27,SIP,2006,Pending
INV100017,120503,2024-12-04,SIP,1999,Pending
INV100017,120841,2025-01-13,SIP,1990,Pending
INV100017,120503,2025-02-26,SIP,2094,Pending
INV100017,120503,2025-03-20,SIP,1883,Pending
INV100017,120841,2025-04-12,SIP,2124,Pending
INV100017,120841,2025-05-18,SIP,1750,Pending
INV100017,120503,2025-05-28,SIP,1945,Pending
INV100017,120503,2025-07-03,SIP,2003,Pending
INV100017,120841,2025-08-10,SIP,1933,Pending
INV100017,120503,2025-09-06,SIP,2047,Pending
INV100017,120503,2025-09-20,SIP,2010,Pending
INV100017,120841,2025-11-01,SIP,2158,Pending
INV100017,120841,2025-12-03,SIP,1978,Pending
INV100017,120841,2025-12-22,SIP,2006,Pending
INV100017,120503,2026-01-14,SIP,2039,Pending
INV100018,120844,2024-01-14,SIP,1602,Verified
INV100018,101206,2024-01-30,Lumpsum,5000,Verified
INV100018,120844,2024-02-03,SIP,1477,Verified
INV100018,120844,2024-02-28,SIP,1508,Verified
INV100018,120844,2024-03-26,SIP,1488,Verified
INV100018,120844,2024-05-04,SIP,1488,Verified
INV100018,120844,2024-06-05,SIP,1483,Verified
INV100018,120844,2024-07-05,SIP,1500,Verified
INV100018,120844,2024-08-06,SIP,1587,Verified
INV100018,119551,2024-08-26,Lumpsum,100000,Verified
INV100018,120844,2024-09-13,SIP,1523,Verified
INV100018,120844,2024-10-03,Redemption,5000,Verified
INV100018,120844,2024-10-15,SIP,1414,Verified
INV100018,120844,2024-11-13,SIP,1570,Verified
INV100018,120844,2024-12-17,SIP,1515,Verified
INV100018,120844,2025-01-20,SIP,1536,Verified
INV100018,120844,2025-04-08,SIP,1521,Verified
INV100018,120844,2025-06-09,SIP,1525,Verified
INV100018,120844,2025-07-15,SIP,1528,Verified
INV100018,120844,2025-08-13,SIP,1371,Verified
INV100018,148569,2025-10-17,Lumpsum,10000,Verified
INV100018,120844,2025-10-22,SIP,1535,Verified
INV100018,120844,2025-12-15,SIP,1447,Verified
INV100018,120844,2026-03-04,SIP,1464,Verified
INV100019,120504,2025-11-17,SIP,2061,Verified
INV100019,120504,2025-12-13,SIP,1896,Verified
INV100019,118632,2025-12-18,Lumpsum,25000,Verified
INV100019,120504,2026-01-16,SIP,1959,Verified
INV100019,102887,2026-01-26,Lumpsum,25000,Verified
INV100019,120504,2026-02-09,SIP,2044,Verified
INV100019,120504,2026-02-14,Redemption,10000,Verified
INV100019,120504,2026-03-12,SIP,1847,Verified
INV100019,120504,2026-04-11,SIP,2073,Verified
INV100019,120504,2026-05-12,SIP,2063,Verified
INV100019,120503,2026-05-27,Lumpsum,50000,Verified
INV100020,118636,2025-05-12,SIP,4986,Pending
INV100020,118636,2025-06-11,SIP,4897,Pending
INV100020,148569,2025-07-14,Lumpsum,5000,Pending
INV100020,118636,2025-08-07,SIP,5000,Pending
INV100020,118636,2025-09-27,SIP,5167,Pending
INV100020,118636,2025-11-03,SIP,5189,Pending
INV100020,118636,2025-12-25,SIP,4692,Pending
INV100020,118635,2026-01-04,Lumpsum,25000,Pending
INV100020,118636,2026-03-08,SIP,4875,Pending
INV100020,118636,2026-03-19,SIP,4739,Pending
INV100020,118636,2026-04-12,SIP,5013,Pending
INV100020,118636,2026-05-10,Redemption,10000,Pending
INV100020,118636,2026-05-21,SIP,4916,Pending
INV100021,120841,2024-09-23,SIP,2435,Pending
INV100021,120503,2024-10-22,SIP,2431,Pending
INV100021,120503,2024-11-04,Lumpsum,100000,Pending
INV100021,120503,2024-11-25,SIP,2584,Pending
INV100021,120503,2024-12-20,SIP,2587,Pending
INV100021,120503,2025-01-19,SIP,2405,Pending
INV100021,120841,2025-02-13,SIP,2567,Pending
INV100021,125497,2025-02-22,Lumpsum,10000,Pending
INV100021,120503,2025-03-10,SIP,2554,Pending
INV100021,120503,2025-04-02,SIP,2513,Pending
INV100021,120503,2025-05-14,SIP,2328,Pending
INV100021,120503,2025-06-20,SIP,2551,Pending
INV100021,120503,2025-07-20,SIP,2555,Pending
INV100021,120841,2025-08-18,SIP,2443,Pending
INV100021,120841,2025-11-03,SIP,2420,Pending
INV100021,120841,2026-01-07,SIP,2556,Pending
INV100021,120841,2026-03-28,SIP,2491,Pending
INV100022,149322,2023-10-27,SIP,2939,Verified
INV100022,149323,2023-11-20,SIP,2769,Verified
INV100022,149322,2023-12-22,SIP,2911,Verified
INV100022,120503,2023-12-28,Lumpsum,10000,Verified
INV100022,119092,2024-01-08,Lumpsum,100000,Verified
INV100022,149322,2024-01-21,SIP,3119,Verified
INV100022,149322,2024-02-20,SIP,3183,Verified
INV100022,119552,2024-03-18,Lumpsum,25000,Verified
INV100023,101206,2025-06-20,SIP,1611,Verified
INV100023,101206,2025-07-29,SIP,1414,Verified
INV100023,101206,2025-09-07,SIP,1507,Verified
INV100023,101206,2025-10-23,SIP,1585,Verified
INV100023,101206,2025-11-29,SIP,1526,Verified
INV100023,101206,2025-12-24,SIP,1533,Verified
INV100023,101206,2026-02-07,SIP,1444,Verified
INV100023,101206,2026-03-19,SIP,1487,Verified
INV100023,101206,2026-04-27,SIP,1632,Verified
INV100024,118634,2022-05-20,SIP,1502,Pending
INV100024,101208,2022-06-18,SIP,1500,Pending
INV100024,101208,2022-07-24,SIP,1350,Pending
INV100024,101208,2022-08-20,SIP,1501,Pending
INV100024,118634,2022-09-21,SIP,1472,Pending
INV100024,101208,2022-10-25,SIP,1577,Pending
INV100024,118634,2022-11-24,SIP,1520,Pending
INV100024,118634,2022-12-21,SIP,1552,Pending
INV100024,101208,2023-01-20,SIP,1610,Pending
INV100024,118634,2023-02-09,SIP,1394,Pending
INV100024,101208,2023-03-06,SIP,1481,Pending
INV100024,118634,2023-03-29,SIP,1427,Pending
INV100024,101208,2023-04-24,SIP,1635,Pending
INV100024,118634,2023-05-22,SIP,1473,Pending
INV100024,101208,2023-06-16,SIP,1492,Pending
INV100024,101208,2023-07-12,SIP,1494,Pending
INV100024,101208,2023-08-04,SIP,1511,Pending
INV100024,118634,2023-09-04,SIP,1531,Pending
INV100024,101208,2023-09-28,SIP,1440,Pending
INV100024,118634,2023-10-30,SIP,1500,Pending
INV100024,118634,2023-11-23,SIP,1527,Pending
INV100024,118634,2023-12-25,SIP,1490,Pending
INV100024,118634,2024-01-30,SIP,1481,Pending
INV100024,101208,2024-03-03,SIP,1645,Pending
INV100024,101208,2024-04-09,SIP,1431,Pending
INV100024,101208,2024-05-14,SIP,1421,Pending
INV100024,101208,2024-06-07,SIP,1531,Pending
INV100024,101208,2024-07-06,SIP,1452,Pending
INV100024,101208,2024-08-02,SIP,1435,Pending
INV100024,101208,2024-09-10,SIP,1522,Pending
INV100024,101208,2024-10-13,SIP,1487,Pending
INV100024,101208,2024-11-09,SIP,1302,Pending
INV100024,101208,2024-12-03,SIP,1332,Pending
INV100025,119093,2022-08-09,SIP,10261,Verified
INV100025,119093,2022-10-07,SIP,9712,Verified
INV100025,119093,2022-12-02,SIP,10283,Verified
INV100025,119093,2023-01-05,SIP,9439,Verified
INV100025,119093,2023-01-26,SIP,10043,Verified
INV100025,119093,2023-03-18,SIP,9604,Verified
INV100025,119093,2023-05-02,SIP,10285,Verified
INV100025,119093,2023-06-28,SIP,10775,Verified
INV100025,119093,2023-09-06,SIP,9500,Verified
INV100025,102887,2023-10-31,Lumpsum,10000,Verified
INV100025,119093,2023-11-23,SIP,9735,Verified
INV100025,119093,2024-01-27,SIP,10033,Verified
INV100025,119093,2024-03-03,SIP,9097,Verified
INV100025,119093,2024-04-13,SIP,9221,Verified
INV100025,119093,2024-06-16,SIP,10758,Verified
INV100025,119093,2024-07-15,SIP,10150,Verified
INV100025,119093,2024-08-14,SIP,9686,Verified
INV100025,119093,2024-10-13,SIP,9981,Verified
INV100025,119093,2024-12-31,SIP,9759,Verified
INV100025,119093,2025-03-05,SIP,10048,Verified
INV100025,119093,2025-05-04,SIP,9777,Verified
INV100025,120504,2025-05-30,Lumpsum,5000,Verified
INV100025,119093,2025-06-17,SIP,9943,Verified
INV100025,119093,2025-07-15,SIP,10331,Verified
INV100025,119093,2025-08-12,Redemption,20000,Verified
INV100025,119093,2025-09-11,SIP,10296,Verified
INV100025,119093,2025-11-25,SIP,10724,Verified
INV100025,119093,2026-01-01,SIP,10186,Verified
INV100025,119093,2026-02-02,SIP,10011,Verified
INV100025,119093,2026-03-07,SIP,10810,Verified
INV100025,119093,2026-04-28,SIP,9891,Verified
INV100026,120503,2023-06-29,SIP,3038,Verified
INV100026,120503,2023-08-01,SIP,2901,Verified
INV100026,118636,2023-08-26,SIP,2856,Verified
INV100026,118636,2023-09-25,SIP,2619,Verified
INV100026,120503,2023-10-27,SIP,3113,Verified
INV100026,118636,2023-11-24,SIP,2851,Verified
INV100026,120503,2023-12-11,Lumpsum,5000,Verified
INV100026,118636,2023-12-28,SIP,2584,Verified
INV100026,120503,2024-01-25,SIP,3120,Verified
INV100026,120503,2024-02-21,SIP,3060,Verified
INV100026,118636,2024-03-24,SIP,2970,Verified
INV100026,118636,2024-04-24,SIP,2778,Verified
INV100026,118636,2024-05-28,SIP,2916,Verified
INV100026,120503,2024-06-26,SIP,2766,Verified
INV100026,118636,2024-07-26,SIP,3043,Verified
INV100026,120504,2024-08-12,Lumpsum,5000,Verified
INV100026,120503,2024-08-18,SIP,2982,Verified
INV100026,120503,2024-09-19,SIP,2839,Verified
INV100026,120503,2024-10-22,SIP,3040,Verified
INV100026,120503,2024-11-22,SIP,3070,Verified
INV100026,118636,2024-12-24,SIP,3406,Verified
INV100026,120503,2025-01-14,Redemption,2000,Verified
INV100026,120503,2025-01-22,SIP,3064,Verified
INV100026,120503,2025-02-22,SIP,2921,Verified
INV100026,120503,2025-03-19,SIP,3049,Verified
INV100026,118636,2025-04-15,SIP,3137,Verified
INV100026,120503,2025-05-14,SIP,3084,Verified
INV100026,120503,2025-06-07,SIP,3052,Verified
INV100026,118636,2025-07-14,SIP,2944,Verified
INV100026,120503,2025-08-10,SIP,2939,Verified
INV100027,120506,2026-04-10,Lumpsum,10000,Verified
INV100027,102887,2026-04-25,SIP,9198,Verified
INV100027,102887,2026-05-11,Lumpsum,100000,Verified
INV100027,118635,2026-05-22,Lumpsum,10000,Verified
INV100027,102887,2026-05-25,Redemption,5000,Verified
INV100028,120503,2023-04-15,SIP,2900,Verified
INV100028,125497,2023-05-16,Lumpsum,5000,Verified
INV100028,120503,2023-05-20,SIP,2919,Verified
INV100028,120503,2023-06-20,SIP,2720,Verified
INV100028,120503,2023-07-27,SIP,3090,Verified
INV100028,120503,2023-08-25,SIP,3086,Verified
INV100028,118636,2023-09-09,Lumpsum,50000,Verified
INV100028,120503,2023-09-18,SIP,3177,Verified
INV100029,120841,2023-04-29,SIP,4787,Verified
INV100029,120841,2023-07-27,SIP,5248,Verified
INV100029,125498,2023-09-29,SIP,4946,Verified
INV100029,120841,2023-11-08,SIP,5097,Verified
INV100029,120841,2024-01-20,SIP,4773,Verified
INV100029,125498,2024-03-21,SIP,5230,Verified
INV100029,119093,2024-05-10,Lumpsum,50000,Verified
INV100029,125498,2024-05-18,SIP,4933,Verified
INV100029,120841,2024-06-13,SIP,4783,Verified
INV100029,125498,2024-06-25,SIP,4980,Verified
INV100029,125498,2024-07-31,SIP,4262,Verified
INV100029,125498,2024-08-20,SIP,4834,Verified
INV100029,120841,2024-10-11,SIP,4653,Verified
INV100029,125498,2024-12-23,SIP,5072,Verified
INV100029,100025,2025-03-08,Lumpsum,5000,Verified
INV100029,125498,2025-03-24,SIP,5379,Verified
INV100029,120841,2025-05-01,SIP,4919,Verified
INV100029,120841,2025-06-25,SIP,4974,Verified
